Domain,Price,Status,Date,Type,Bids,Platform
nasty.com,200000,SOLD,2006-07-25,Private Seller,0,Sedo
flowers.mobi,200000,SOLD,2006-11-25,Private Seller,0,Moniker
shopping.eu,196803,SOLD,2006-08-29,Private Seller,0,Sedo
unclesam.com,185750,SOLD,2006-10-31,Private Seller,0,SnapNames
slimming.com,185000,SOLD,2006-08-29,Private Seller,0,Dotcom Agency
hoteldeals.com,171250,SOLD,2006-12-04,Private Seller,0,SnapNames
homeimprovement.com,166650,SOLD,2006-08-08,Private Seller,0,Moniker
courts.com,155000,SOLD,2006-11-25,Private Seller,0,Sedo
nhs.com,151300,SOLD,2006-02-21,Private Seller,0,Moniker
date.org,150349,SOLD,2006-12-20,Private Seller,0,SnapNames
camp.com,150000,SOLD,2006-10-03,Private Seller,0,Private
forclosures.com,150000,SOLD,2006-11-25,Private Seller,0,Moniker
mortgage.net,149000,SOLD,2006-11-28,Private Seller,0,T.R.A.F.F.I.C.
addictedgames.com,135350,SOLD,2006-12-20,Private Seller,0,SnapNames
vb.com,130000,SOLD,2006-01-01,Private Seller,0,T.R.A.F.F.I.C.
blocks.com,130000,SOLD,2006-02-07,Private Seller,0,Moniker
vb.com,130000,SOLD,2006-11-25,Private Seller,0,Moniker
partners.com,130000,SOLD,2006-12-28,Private Seller,0,Moniker
hedonism.com,126270,SOLD,2006-03-07,Private Seller,0,Moniker
ex.com,126160,SOLD,2006-01-01,Private Seller,0,Moniker
ex.com,126160,SOLD,2006-09-12,Private Seller,0,Moniker
creditcare.com,125000,SOLD,2006-06-27,Private Seller,0,Sedo
vancouver.com,123000,SOLD,2006-05-30,Private Seller,0,Private
spn.com,121266,SOLD,2006-10-31,Private Seller,0,Sedo
cancunhotels.com,120000,SOLD,2006-01-10,Private Seller,0,Moniker
sexeducation.com,120000,SOLD,2006-11-25,Private Seller,0,Moniker
sailboat.com,120000,SOLD,2006-11-25,Private Seller,0,Moniker
creditcards.net,118500,SOLD,2006-11-25,Private Seller,0,Moniker
own.com,115000,SOLD,2006-12-04,Private Seller,0,Moniker
jail.com,111100,SOLD,2006-05-12,Private Seller,0,Moniker
base.com,110012,SOLD,2006-05-19,Private Seller,0,Private
primerate.com,110000,SOLD,2006-07-18,Private Seller,0,Afternic
scouts.com,107000,SOLD,2006-05-23,Private Seller,0,Private
huge.com,106050,SOLD,2006-06-06,Private Seller,0,T.R.A.F.F.I.C.
prizefight.com,105556,SOLD,2006-07-11,Private Seller,0,Afternic
loan.org,105500,SOLD,2006-12-20,Private Seller,0,SnapNames
fj.com,105000,SOLD,2006-01-01,Private Seller,0,Moniker
tj.com,105000,SOLD,2006-01-01,Private Seller,0,Moniker
tj.com,105000,SOLD,2006-12-28,Private Seller,0,Moniker
fj.com,105000,SOLD,2006-12-28,Private Seller,0,Moniker
fixedincome.com,101250,SOLD,2006-12-13,Private Seller,0,SnapNames
movierentals.com,100249,SOLD,2006-04-18,Private Seller,0,SnapNames
hb.com,100000,SOLD,2006-01-01,Private Seller,0,T.R.A.F.F.I.C.
dora.com,100000,SOLD,2006-02-07,Private Seller,0,Private
amistad.com,100000,SOLD,2006-02-28,Private Seller,0,NameDrive
funnyads.com,100000,SOLD,2006-10-03,Private Seller,0,BuyDomains
hb.com,100000,SOLD,2006-11-25,Private Seller,0,Moniker
university.org,100000,SOLD,2006-11-28,Private Seller,0,T.R.A.F.F.I.C.
fun.mobi,100000,SOLD,2006-12-04,Private Seller,0,Moniker
sporttv.com,99000,SOLD,2006-12-28,Private Seller,0,BuyDomains
cityindex.com,96186,SOLD,2006-08-29,Private Seller,0,Sedo
credits.com,95000,SOLD,2006-11-25,Private Seller,0,Moniker
freepicks.com,91250,SOLD,2006-04-04,Private Seller,0,SnapNames
cheapgifts.com,90000,SOLD,2006-01-10,Private Seller,0,Sedo
announce.com,90000,SOLD,2006-12-22,Private Seller,0,Sedo
looks.com,86650,SOLD,2006-02-21,Private Seller,0,SnapNames
employersdirect.com,85000,SOLD,2006-03-21,Private Seller,0,Sedo
collectionagency.com,85000,SOLD,2006-05-12,Private Seller,0,Sedo
waterfrontproperty.com,80850,SOLD,2006-05-23,Private Seller,0,T.R.A.F.F.I.C.
airways.com,80815,SOLD,2006-02-21,Private Seller,0,Moniker
lyrics.co.uk,80000,SOLD,2006-02-28,Private Seller,0,Private
fireplacemantels.com,76000,SOLD,2006-06-13,Private Seller,0,Moniker
favorite.com,75805,SOLD,2006-05-12,Private Seller,0,SnapNames
scrooge.com,75250,SOLD,2006-08-01,Private Seller,0,SnapNames
dirtbike.com,75000,SOLD,2006-01-24,Private Seller,0,Private
prosports.com,75000,SOLD,2006-02-21,Private Seller,0,Ebay
getmovies.com,75000,SOLD,2006-04-11,Private Seller,0,Sedo
porn.com,9500000,SOLD,2007-06-05,Private Seller,0,Moniker
computer.com,2100000,SOLD,2007-12-05,Private Seller,0,T.R.A.F.F.I.C.
seniors.com,1800000,SOLD,2007-07-10,Private Seller,0,T.R.A.F.F.I.C.
tandberg.com,1500000,SOLD,2007-02-13,Private Seller,0,Private
vista.com,1250000,SOLD,2007-11-14,Private Seller,0,Private
scores.com,1180000,SOLD,2007-06-12,Private Seller,0,Moniker
chinese.com,1120008,SOLD,2007-07-31,Private Seller,0,Sedo
topix.com,1000000,SOLD,2007-03-13,Private Seller,0,Private
guy.com,1000000,SOLD,2007-12-05,Private Seller,0,Sedo
poker.de,957937,SOLD,2007-07-24,Private Seller,0,NICIT/DOMAINfest
investment.com,900000,SOLD,2007-12-12,Private Seller,0,Moniker
melbourne.com,700000,SOLD,2007-12-05,Private Seller,0,digipawn
telecom.com,700000,SOLD,2007-12-28,Private Seller,0,Sedo
dollars.com,650000,SOLD,2007-07-17,Private Seller,0,DigiPawn
music.mobi,616000,SOLD,2007-12-05,Private Seller,0,Sedo
job.at,590949,SOLD,2007-12-27,Private Seller,0,Private
cardiology.com,550000,SOLD,2007-08-14,Private Seller,0,T.R.A.F.F.I.C.
shemale.com,520000,SOLD,2007-01-18,Private Seller,0,Moniker
laon.com,500249,SOLD,2007-01-04,Private Seller,0,SnapNames
li.com,500000,SOLD,2007-01-01,Private Seller,0,Sedo
greenhouse.com,500000,SOLD,2007-07-10,Private Seller,0,Afternic
az.com,500000,SOLD,2007-10-31,Private Seller,0,DRT Auction
rebates.com,500000,SOLD,2007-10-31,Private Seller,0,DRT Auction
invention.com,500000,SOLD,2007-10-31,Private Seller,0,DRT Auction
rebate.com,500000,SOLD,2007-10-31,Private Seller,0,DRT Auction
sportinggoods.com,450000,SOLD,2007-11-21,Private Seller,0,Moniker
iran.com,400000,SOLD,2007-06-19,Private Seller,0,Private
carsales.com,400000,SOLD,2007-07-24,Private Seller,0,T.R.A.F.F.I.C.
bald.com,400000,SOLD,2007-08-14,Private Seller,0,T.R.A.F.F.I.C.
cowboys.com,370000,SOLD,2007-11-07,Private Seller,0,Moniker
greeting.com,350000,SOLD,2007-04-03,Private Seller,0,Moniker
supplies.com,323530,SOLD,2007-08-14,Private Seller,0,T.R.A.F.F.I.C.
recycle.co.uk,309901,SOLD,2007-11-21,Private Seller,0,Private
realestate.net,300000,SOLD,2007-02-06,Private Seller,0,Private
text.com,300000,SOLD,2007-07-10,Private Seller,0,T.R.A.F.F.I.C.
resume.com,300000,SOLD,2007-07-31,Private Seller,0,Afternic
team.com,300000,SOLD,2007-11-29,Private Seller,0,Sedo
bdsm.com,295000,SOLD,2007-01-18,Private Seller,0,Moniker
xmas.com,294200,SOLD,2007-11-28,Private Seller,0,Moniker
ui.com,275000,SOLD,2007-11-27,Private Seller,0,Afternic
table.com,260000,SOLD,2007-11-21,Private Seller,0,Moniker
buckhead.com,250000,SOLD,2007-03-27,Private Seller,0,Private
locals.com,250000,SOLD,2007-07-10,Private Seller,0,T.R.A.F.F.I.C.
mobile.co.uk,247921,SOLD,2007-11-21,Private Seller,0,Sedo
yearbook.com,237500,SOLD,2007-02-06,Private Seller,0,Moniker
et.com,225000,SOLD,2007-04-11,Private Seller,0,Moniker
spices.com,220000,SOLD,2007-07-31,Private Seller,0,T.R.A.F.F.I.C.
televisions.com,215000,SOLD,2007-09-20,Private Seller,0,namedrive
crosswordpuzzles.com,210000,SOLD,2007-11-07,Private Seller,0,Moniker
masculin.com,201792,SOLD,2007-07-03,Private Seller,0,Sedo
settlement.com,200000,SOLD,2007-04-25,Private Seller,0,Moniker
diy.net,200000,SOLD,2007-11-14,Private Seller,0,domainclub.org
perth.com,200000,SOLD,2007-12-19,Private Seller,0,Moniker
criminallawyers.com,195000,SOLD,2007-11-07,Private Seller,0,Moniker
freehoroscope.com,185259,SOLD,2007-03-13,Private Seller,0,SnapNames
fly.co.uk,181042,SOLD,2007-11-28,Private Seller,0,Sedo
walkers.com,175000,SOLD,2007-03-13,Private Seller,0,Private
campgrounds.com,175000,SOLD,2007-03-13,Private Seller,0,Private
clock.com,175000,SOLD,2007-07-10,Private Seller,0,T.R.A.F.F.I.C.
ringtones.net,175000,SOLD,2007-08-14,Private Seller,0,Moniker
boiseidaho.com,175000,SOLD,2007-09-11,Private Seller,0,Private
dreamlife.com,171750,SOLD,2007-07-03,Private Seller,0,SnapNames
promotion.com,170000,SOLD,2007-11-21,Private Seller,0,Moniker
event.com,165000,SOLD,2007-10-31,Private Seller,0,DRT Auction
psychologists.com,160000,SOLD,2007-07-31,Private Seller,0,T.R.A.F.F.I.C.
connected.co.uk,157931,SOLD,2007-06-19,Private Seller,0,Private
via.com,157500,SOLD,2007-12-06,Private Seller,0,Sedo
lazy.com,152501,SOLD,2007-08-06,Private Seller,0,Sedo
jewelers.com,150755,SOLD,2007-04-18,Private Seller,0,Moniker
opportunity.com,150000,SOLD,2007-01-18,Private Seller,0,Moniker
interracialsex.com,150000,SOLD,2007-01-18,Private Seller,0,Moniker
ol.com,150000,SOLD,2007-04-25,Private Seller,0,Moniker
pottery.com,150000,SOLD,2007-07-10,Private Seller,0,Sedo
megayachts.com,150000,SOLD,2007-08-14,Private Seller,0,T.R.A.F.F.I.C.
guy.com,150000,SOLD,2007-10-31,Private Seller,0,Sedo
poker.mobi,150000,SOLD,2007-12-12,Private Seller,0,Moniker
ringtones.mobi,145000,SOLD,2007-12-12,Private Seller,0,Moniker
charters.com,140000,SOLD,2007-07-10,Private Seller,0,T.R.A.F.F.I.C.
pokern.de,136030,SOLD,2007-10-04,Private Seller,0,Sedo
lips.com,135000,SOLD,2007-08-07,Private Seller,0,T.R.A.F.F.I.C.
caribbeanvacations.com,130000,SOLD,2007-11-07,Private Seller,0,Moniker
zimbabwe.com,130000,SOLD,2007-12-01,Private Seller,0,Sedo
sportsbook.mobi,129800,SOLD,2007-01-17,Private Seller,0,Private
ub.com,129420,SOLD,2007-04-25,Private Seller,0,Moniker
one.es,128947,SOLD,2007-11-21,Private Seller,0,Sedo
halfpricetickets.com,125000,SOLD,2007-12-12,Private Seller,0,Afternic
exito.com,121560,SOLD,2007-01-10,Private Seller,0,Moniker
px.com,120000,SOLD,2007-04-25,Private Seller,0,Moniker
roth.com,120000,SOLD,2007-06-25,Private Seller,0,Private
hotproperty.com,120000,SOLD,2007-07-03,Private Seller,0,Private
travel.info,116000,SOLD,2007-07-31,Private Seller,0,Sedo
refresh.com,115000,SOLD,2007-02-28,Private Seller,0,Private
note.com,115000,SOLD,2007-08-07,Private Seller,0,T.R.A.F.F.I.C.
forest.com,110721,SOLD,2007-08-07,Private Seller,0,Sedo
femmes.com,110000,SOLD,2007-08-14,Private Seller,0,Moniker
otv.com,110000,SOLD,2007-10-24,Private Seller,0,Afternic
cab.com,110000,SOLD,2007-10-31,Private Seller,0,DRT Auction
news.mobi,110000,SOLD,2007-11-28,Private Seller,0,Moniker
xd.com,105574,SOLD,2007-04-18,Private Seller,0,Moniker
vd.com,105574,SOLD,2007-04-18,Private Seller,0,Moniker
clothes.com,4900000,SOLD,2008-05-01,Private Seller,0,Private
yp.com,3850000,SOLD,2008-01-01,Private Seller,0,Private
pizza.com,2605000,SOLD,2008-04-03,Private Seller,0,Sedo
pharmacy.com,2300000,SOLD,2008-11-27,Private Seller,0,DigitalDNA
datarecovery.com,1659000,SOLD,2008-03-05,Private Seller,0,Private
kredit.de,1169175,SOLD,2008-12-02,Private Seller,0,Sedo
cruise.co.uk,1099798,SOLD,2008-02-06,Private Seller,0,Private
cruises.co.uk,1099798,SOLD,2008-02-12,Private Seller,0,Private
invest.com,1015000,SOLD,2008-10-07,Private Seller,0,Sedo
skiresorts.com,850000,SOLD,2008-04-09,Private Seller,0,Moniker
printer.com,800000,SOLD,2008-08-27,Private Seller,0,Private
dollars.com,789600,SOLD,2008-04-18,Private Seller,0,Sedo
ireport.com,750000,SOLD,2008-01-30,Private Seller,0,Private
casino.de,625060,SOLD,2008-03-19,Private Seller,0,Private
jobs.ca,600000,SOLD,2008-05-07,Private Seller,0,Private
affiliate.com,579900,SOLD,2008-08-27,Private Seller,0,Moniker
financialaid.com,480000,SOLD,2008-12-29,Private Seller,0,T.R.A.F.F.I.C.
villas.com,477630,SOLD,2008-07-24,Private Seller,0,Sedo
porn.net,400000,SOLD,2008-02-13,Private Seller,0,SnapNames
systematic.com,400000,SOLD,2008-04-02,Private Seller,0,Private
tell.com,400000,SOLD,2008-07-02,Private Seller,0,Sedo
domainregistration.com,376480,SOLD,2008-07-16,Private Seller,0,T.R.A.F.F.I.C.
lowfare.com,365000,SOLD,2008-11-18,Private Seller,0,Sedo
banners.com,360000,SOLD,2008-11-26,Private Seller,0,Sedo
phones.co.uk,344710,SOLD,2008-07-15,Private Seller,0,Private
770.com,343208,SOLD,2008-04-16,Private Seller,0,Sedo
rvrental.com,325000,SOLD,2008-09-16,Private Seller,0,Private
financialaide.com,320000,SOLD,2008-12-29,Private Seller,0,T.R.A.F.F.I.C.
173.com,302790,SOLD,2008-02-13,Private Seller,0,Moniker
bookmarks.com,300000,SOLD,2008-02-13,Private Seller,0,SnapNames
dvds.com,300000,SOLD,2008-04-02,Private Seller,0,T.R.A.F.F.I.C.
isearch.com,300000,SOLD,2008-08-27,Private Seller,0,Private
freecreditreport.co.uk,300000,SOLD,2008-10-25,Private Seller,0,Afternic
sc.com,300000,SOLD,2008-12-16,Private Seller,0,Sedo
triplecreditreport.com,260000,SOLD,2008-08-13,Private Seller,0,Nokta
seks.nl,258000,SOLD,2008-12-16,Private Seller,0,Sedo
tees.com,252500,SOLD,2008-01-24,Private Seller,0,Sedo
alice.com,250000,SOLD,2008-11-26,Private Seller,0,Private
outlets.de,239257,SOLD,2008-07-06,Private Seller,0,Sedo
action.com,230000,SOLD,2008-07-30,Private Seller,0,Moniker
ar.com,225000,SOLD,2008-01-01,Private Seller,0,SnapNames
ar.com,225000,SOLD,2008-02-13,Private Seller,0,SnapNames
winner.com,225000,SOLD,2008-05-14,Private Seller,0,Sedo
gasprices.com,225000,SOLD,2008-05-23,Private Seller,0,Moniker
insurancerates.com,225000,SOLD,2008-06-11,Private Seller,0,T.R.A.F.F.I.C.
od.com,220000,SOLD,2008-01-01,Private Seller,0,Sedo
cpc.com,201750,SOLD,2008-06-04,Private Seller,0,Moniker
bj.com,200000,SOLD,2008-01-01,Private Seller,0,Moniker
ov.com,200000,SOLD,2008-01-01,Private Seller,0,Sedo
rhodes.com,200000,SOLD,2008-02-06,Private Seller,0,Private
thin.com,200000,SOLD,2008-03-12,Private Seller,0,Rick Latona
bj.com,200000,SOLD,2008-09-16,Private Seller,0,Moniker
riva.com,200000,SOLD,2008-12-29,Private Seller,0,Sedo
photograph.com,195000,SOLD,2008-02-13,Private Seller,0,SnapNames
mcc.com,195000,SOLD,2008-10-26,Private Seller,0,T.R.A.F.F.I.C.
wt.com,192000,SOLD,2008-01-01,Private Seller,0,Private
wt.com,192000,SOLD,2008-07-16,Private Seller,0,Private
11.com,188889,SOLD,2008-08-20,Private Seller,0,private sale
880.com,188889,SOLD,2008-08-20,Private Seller,0,marchex
pisos.net,187500,SOLD,2008-11-18,Private Seller,0,Sedo
offer.com,180000,SOLD,2008-03-25,Private Seller,0,Moniker
444.com,178889,SOLD,2008-08-20,Private Seller,0,marchex
tests.com,176505,SOLD,2008-03-19,Private Seller,0,Sedo
248.com,175000,SOLD,2008-06-04,Private Seller,0,Sedo
auto.es,173682,SOLD,2008-07-02,Private Seller,0,Sedo
rainbow.com,170000,SOLD,2008-06-18,Private Seller,0,T.R.A.F.F.I.C.
245.com,168889,SOLD,2008-08-20,Private Seller,0,private sale
shoppers.com,166000,SOLD,2008-03-12,Private Seller,0,Pool
sexe.org,151400,SOLD,2008-06-17,Private Seller,0,MostWantedDomains
daytona.com,151395,SOLD,2008-08-13,Private Seller,0,Moniker
cr.com,150000,SOLD,2008-01-01,Private Seller,0,Rick Latona
bellevue.com,150000,SOLD,2008-05-14,Private Seller,0,Private
sumo.com,150000,SOLD,2008-05-29,Private Seller,0,Sedo
sanjuan.com,150000,SOLD,2008-12-09,Private Seller,0,Rick Latona
cr.com,150000,SOLD,2008-12-09,Private Seller,0,Rick Latona
fruitbaskets.com,142500,SOLD,2008-02-13,Private Seller,0,Private
newlyweds.com,130000,SOLD,2008-01-16,Private Seller,0,Moniker
matureporn.com,130000,SOLD,2008-01-30,Private Seller,0,Moniker
yb.com,125000,SOLD,2008-01-01,Private Seller,0,Sedo
auditors.com,125000,SOLD,2008-03-05,Private Seller,0,Private
aftermarket.com,125000,SOLD,2008-07-16,Private Seller,0,Moniker
moneywatch.com,125000,SOLD,2008-11-04,Private Seller,0,Sedo
246.com,124568,SOLD,2008-07-02,Private Seller,0,private sale
25.com,124556,SOLD,2008-12-30,Private Seller,0,Sedo
athlete.com,122000,SOLD,2008-06-11,Private Seller,0,T.R.A.F.F.I.C.
casas.net,120930,SOLD,2008-12-29,Private Seller,0,Sedo
myrtlebeachcondos.com,120107,SOLD,2008-05-29,Private Seller,0,Moniker
ow.com,120000,SOLD,2008-01-01,Private Seller,0,T.R.A.F.F.I.C.
ow.com,120000,SOLD,2008-06-11,Private Seller,0,T.R.A.F.F.I.C.
ringtones.org,120000,SOLD,2008-07-23,Private Seller,0,T.R.A.F.F.I.C.
revolution.org,120000,SOLD,2008-07-23,Private Seller,0,Sedo
topmodel.com,117650,SOLD,2008-09-04,Private Seller,0,SnapNames
edistobeach.com,115000,SOLD,2008-07-09,Private Seller,0,Rick Latona
eggs.com,112500,SOLD,2008-02-28,Private Seller,0,Sedo
relatiegeschenk.nl,111362,SOLD,2008-05-09,Private Seller,0,Sedo
252.com,111111,SOLD,2008-08-20,Private Seller,0,marchex
242.com,111111,SOLD,2008-08-20,Private Seller,0,marchex
porn.mobi,110000,SOLD,2008-03-25,Private Seller,0,Moniker
autoclassifieds.com,110000,SOLD,2008-03-25,Private Seller,0,Moniker
garagesales.com,110000,SOLD,2008-04-02,Private Seller,0,T.R.A.F.F.I.C.
toys.com,5100000,SOLD,2009-03-01,Private Seller,0,Private
candy.com,3000000,SOLD,2009-06-10,Private Seller,0,Private
fly.com,1760000,SOLD,2009-02-10,Private Seller,0,Sedo
auction.com,1700000,SOLD,2009-03-27,Private Seller,0,Private
ticket.com,1525000,SOLD,2009-10-16,Private Seller,0,Afternic
russia.com,1500000,SOLD,2009-12-02,Private Seller,0,Sedo
call.com,1100000,SOLD,2009-09-02,Private Seller,0,Sedo
webcam.com,1020000,SOLD,2009-06-10,Private Seller,0,Rick Latona
server.com,770000,SOLD,2009-08-07,Private Seller,0,Sedo
luck.com,675000,SOLD,2009-10-08,Private Seller,0,Afternic
christian.com,600000,SOLD,2009-09-09,Private Seller,0,Rick Latona
exterminator.com,600000,SOLD,2009-10-16,Private Seller,0,Moniker
talk.com,500000,SOLD,2009-07-04,Private Seller,0,Sedo
brazil.com,500000,SOLD,2009-08-19,Private Seller,0,Sedo
top.com,464750,SOLD,2009-03-24,Private Seller,0,Sedo
rio.com,450000,SOLD,2009-12-02,Private Seller,0,Rick Latona
arearugs.com,405000,SOLD,2009-09-25,Private Seller,0,Private
body.com,400000,SOLD,2009-03-15,Private Seller,0,Private Sale
resumes.com,400000,SOLD,2009-10-21,Private Seller,0,Sedo
forums.com,399990,SOLD,2009-02-26,Private Seller,0,Sedo
dollars.com,381150,SOLD,2009-02-24,Private Seller,0,Sedo
contests.com,380000,SOLD,2009-07-22,Private Seller,0,Aftermarket.com/DRT
jets.com,375000,SOLD,2009-09-25,Private Seller,0,Sedo
best.com,331561,SOLD,2009-11-05,Private Seller,0,Moniker
voodoo.com,300000,SOLD,2009-04-06,Private Seller,0,Aftermarket.com
floor.com,275000,SOLD,2009-01-04,Private Seller,0,T.R.A.F.F.I.C.
spel.se,266000,SOLD,2009-06-23,Private Seller,0,Sedo
physicians.com,250000,SOLD,2009-04-15,Private Seller,0,Private
payment.com,250000,SOLD,2009-08-19,Private Seller,0,Sedo
800.com,250000,SOLD,2009-09-25,Private Seller,0,private sale
dominio.com,250000,SOLD,2009-12-09,Private Seller,0,Sedo
software.co.uk,249000,SOLD,2009-10-21,Private Seller,0,Sedo
diamondrings.com,228420,SOLD,2009-07-25,Private Seller,0,Rick Latona
editor.com,225000,SOLD,2009-09-02,Private Seller,0,Sedo
gartenmoebel.de,214500,SOLD,2009-12-30,Private Seller,0,DomainInvest.lu
gartenm.de,214500,SOLD,2009-12-30,Private Seller,0,DomainInvest.lu
freequotes.com,210000,SOLD,2009-02-01,Private Seller,0,Network Solutions
hotel-reservation.com,209916,SOLD,2009-09-23,Private Seller,0,Sedo
flatrate.de,200000,SOLD,2009-03-04,Private Seller,0,Sedo
linux.com,200000,SOLD,2009-03-31,Private Seller,0,Private
chinatours.com,200000,SOLD,2009-08-19,Private Seller,0,Private
whiskey.com,185000,SOLD,2009-11-23,Private Seller,0,Rick Latona
newbrand.de,177600,SOLD,2009-09-25,Private Seller,0,Sedo
barns.com,175000,SOLD,2009-12-17,Private Seller,0,Private
nudetube.com,167500,SOLD,2009-01-07,Private Seller,0,Sedo
onlinecasino.co.uk,165000,SOLD,2009-06-23,Private Seller,0,Sedo
horseracing.co.uk,165000,SOLD,2009-06-23,Private Seller,0,Sedo
modern.com,160000,SOLD,2009-01-04,Private Seller,0,Afternic
french.com,150000,SOLD,2009-06-23,Private Seller,0,Rick Latona
payments.com,150000,SOLD,2009-08-19,Private Seller,0,Sedo
hardware.de,148274,SOLD,2009-07-22,Private Seller,0,Sedo
tradetracker.com,148000,SOLD,2009-09-25,Private Seller,0,Sedo
wv.com,145000,SOLD,2009-01-01,Private Seller,0,Afternic
wv.com,145000,SOLD,2009-10-08,Private Seller,0,Afternic
msb.se,141550,SOLD,2009-11-27,Private Seller,0,Private
casino.mobi,135000,SOLD,2009-09-09,Private Seller,0,Moniker
made.com,130000,SOLD,2009-12-13,Private Seller,0,Sedo
mouse.com,125000,SOLD,2009-07-25,Private Seller,0,Sedo
rss.com,125000,SOLD,2009-10-16,Private Seller,0,Sedo
jesus.net,124337,SOLD,2009-08-07,Private Seller,0,Sedo
sudan.com,120000,SOLD,2009-11-05,Private Seller,0,Sedo
mutelle.fr,116221,SOLD,2009-10-14,Private Seller,0,Sedo
mutuelle.fr,116221,SOLD,2009-10-16,Private Seller,0,Sedo
woodpellets.com,115000,SOLD,2009-08-27,Private Seller,0,Sedo
motor.es,113050,SOLD,2009-04-06,Private Seller,0,Sedo
rent.co.uk,104000,SOLD,2009-10-01,Private Seller,0,Sedo
shows.com,102000,SOLD,2009-05-31,Private Seller,0,T.R.A.F.F.I.C.
wife.com,100000,SOLD,2009-02-26,Private Seller,0,Moniker
lainsurance.com,100000,SOLD,2009-03-27,Private Seller,0,Afternic
livestream.com,100000,SOLD,2009-04-23,Private Seller,0,Sedo
usenet.org,100000,SOLD,2009-05-22,Private Seller,0,Rick Latona
timemanagement.com,100000,SOLD,2009-07-04,Private Seller,0,Sedo
keyboard.com,100000,SOLD,2009-07-25,Private Seller,0,Sedo
iguide.com,100000,SOLD,2009-08-07,Private Seller,0,Afternic
onlineeducation.com,100000,SOLD,2009-08-27,Private Seller,0,ebay
pipi.com,100000,SOLD,2009-11-05,Private Seller,0,Private
sextv.com,97500,SOLD,2009-09-02,Private Seller,0,Sedo
games.eu,95850,SOLD,2009-09-02,Private Seller,0,Sedo
gocarts.com,91600,SOLD,2009-07-06,Private Seller,0,NameJet
64.com,89000,SOLD,2009-12-02,Private Seller,0,Sedo
basket.com,88888,SOLD,2009-01-07,Private Seller,0,Sedo
70.com,87000,SOLD,2009-07-25,Private Seller,0,Sedo
babyshop.com,85000,SOLD,2009-04-06,Private Seller,0,Sedo
wirelessjobs.com,85000,SOLD,2009-06-01,Private Seller,0,Private
pokerbonus.com,85000,SOLD,2009-11-05,Private Seller,0,Sedo
seereise.de,82110,SOLD,2009-05-22,Private Seller,0,Sedo
hotels.cm,81100,SOLD,2009-09-01,Private Seller,0,NameJet
94.com,81000,SOLD,2009-01-06,Private Seller,0,Private
bestprices.com,81000,SOLD,2009-09-09,Private Seller,0,Sedo
claim.com,80000,SOLD,2009-03-10,Private Seller,0,Afternic
omg.com,80000,SOLD,2009-08-07,Private Seller,0,Sedo
brax.com,80000,SOLD,2009-08-27,Private Seller,0,Sedo
rosary.com,78088,SOLD,2009-07-02,Private Seller,0,Afternic
xoxide.com,76000,SOLD,2009-11-05,Private Seller,0,Sedo
63.com,75000,SOLD,2009-07-25,Private Seller,0,Sedo
farsi.com,75000,SOLD,2009-08-27,Private Seller,0,Sedo
suggest.com,75000,SOLD,2009-11-05,Private Seller,0,Private
