Domain,Price,Status,Date,Type,Bids,Platform
diamond.com,7500000,SOLD,2006-05-23,Private Seller,0,Private
vodka.com,3000000,SOLD,2006-12-20,Private Seller,0,Sedo
branson.com,1600000,SOLD,2006-06-01,Private Seller,0,Private
cameras.com,1500000,SOLD,2006-11-07,Private Seller,0,T.R.A.F.F.I.C.
banks.com,1300000,SOLD,2006-09-15,Private Seller,0,Private
nav.no,717978,SOLD,2006-05-12,Private Seller,0,Private
on.com,635000,SOLD,2006-01-01,Private Seller,0,Moniker
on.com,635000,SOLD,2006-03-14,Private Seller,0,Moniker
macau.com,550000,SOLD,2006-02-07,Private Seller,0,Private
antispyware.com,550000,SOLD,2006-12-27,Private Seller,0,Afternic
blue.com,500000,SOLD,2006-03-28,Private Seller,0,Sedo
bike.com,500000,SOLD,2006-06-06,Private Seller,0,Sedo
wrestling.com,500000,SOLD,2006-08-15,Private Seller,0,Private
gays.com,500000,SOLD,2006-10-31,Private Seller,0,Sedo
sex.net,454500,SOLD,2006-05-19,Private Seller,0,T.R.A.F.F.I.C.
templates.com,450000,SOLD,2006-09-12,Private Seller,0,Private
wirelessphone.com,355000,SOLD,2006-06-06,Private Seller,0,Afternic
fungames.com,350000,SOLD,2006-10-10,Private Seller,0,Private
hotels.eu,329509,SOLD,2006-08-29,Private Seller,0,Sedo
jasmin.com,310250,SOLD,2006-02-28,Private Seller,0,SnapNames
brown.com,300000,SOLD,2006-02-07,Private Seller,0,Private
blackjack.de,300000,SOLD,2006-06-20,Private Seller,0,NameDrive
cafe.com,300000,SOLD,2006-10-31,Private Seller,0,Sedo
recycling.com,300000,SOLD,2006-12-01,Private Seller,0,Private
cd.com,277750,SOLD,2006-07-11,Private Seller,0,T.R.A.F.F.I.C.
pos.com,252500,SOLD,2006-05-23,Private Seller,0,T.R.A.F.F.I.C.
malta.com,250000,SOLD,2006-06-13,Private Seller,0,Sedo
mortage.com,242400,SOLD,2006-04-04,Private Seller,0,Moniker
ant.com,241200,SOLD,2006-10-17,Private Seller,0,Moniker
flashgames.com,226950,SOLD,2006-01-10,Private Seller,0,Moniker
wifi.com,225000,SOLD,2006-07-18,Private Seller,0,Sedo
satellitephone.com,201600,SOLD,2006-07-25,Private Seller,0,Afternic
farm.com,200000,SOLD,2006-04-04,Private Seller,0,Afternic
